Title,Author,Date,Excerpt
Food inflation seen reversing on fuel price hike,,"Sep 09, 2024","…Data shows direct relationship b/w food inflation, petrol price In July 2024, food inflation declined to 39.53 percent from 40.87..."
Fields of fear: How insecurity robs Nigerians of daily bread,,"Sep 09, 2024","Insecurity has become one of Nigeria’s most significant obstacles to achieving food security, with its far-reaching effects on agricultural production,..."
Dangote refinery eyes Nigeria’s $268m polypropylene market,,"Sep 09, 2024","Dangote Oil Refinery, the largest in Africa, has set its sights on capturing Nigeria’s $267.7 million polypropylene market starting next..."
Nigeria wins seven medals at Paralympic Games,,"Sep 09, 2024","Nigeria won seven medals at the Paralympics Games which ended on Sunday, walking off from Paris with two gold, three..."
"VAT remains 7.5%, no plans to make it 10%, says Edun",,"Sep 09, 2024","Wale Edun, Nigeria’s minister of finance and coordinating minister of the economy has refuted claims that the government reviewed the..."
Economic Insight: 50% electricity subsidy for public hospitals and educational institutions: In the right direction?,,"Sep 09, 2024","In the 21st century, a nation’s true wealth is no longer measured by its natural resources or financial capital but..."
How Nigeria can boost revenues without raising taxes,,"Sep 09, 2024",…Economists worried about nation’s debt …Gates says govt must justify citizens’ tax Nigeria has one or two lessons to draw...
Nigerians brace up for fresh struggles over new petrol price,,"Sep 08, 2024","…workers feel betrayed as fuel prices ambush new minimum wage … ‘Hard decisions for development’, Tinubu defends petrol price hike..."
"Nigerians kick as half-truths, outright lies become statecraft",,"Sep 08, 2024","…urge govt to be plain, forthright Nigerians have condemned what they described as half-truths and outright lies coming out from..."
The deepening despair of Nigeria's North-West amidst failed security strategies,,"Sep 08, 2024",…Why new leadership alone won’t stop the bloodshed The North-West region of Nigeria has been plagued by a distressing surge...
Real reason Ajuri Ngelale resigned as Tinubu’s media aide,,"Sep 08, 2024","…As President receives Ngelale’s memo, wishes him well Ajuri Ngelale, Special Adviser to the President on Media and Publicity, on..."
Hopeless economic condition affecting Nigerians’ mental health,,"Sep 08, 2024","…Pushes many towards suicide “When someone feels like they’ve exhausted all their options, and they don’t see any improvement in..."
Aba businesses breathe fresh air as infrastructure improves,,"Sep 08, 2024","Businesses in Aba, the commercial hub of Abia State, are now counting the gains of conducive business environment as infrastructure..."
"Breaking: Ajuri Ngelale quits office, cites health reasons",,"Sep 07, 2024","Indications emerged on Saturday that Ajuri Ngelale, special adviser to the President on media and publicity, has resigned from office...."
NBS to release debt stock for Q2 as US publishes inflation data,,"Sep 07, 2024","A flurry of crucial economic indicators will be released this week, the UK will release its unemployment data, while the..."
10 CEOs who rose from entry-level roles to lead their companies,,"Sep 07, 2024","Climbing the corporate ladder to become a CEO is a remarkable achievement, but it is even more inspiring when a..."
Naira rises as CBN supplies $245m,,"Sep 06, 2024","The naira ended the official foreign exchange (FX) market on a positive note on Friday, rising by 2.9 percent on..."
CAC to clamp down on unregistered POS operators as 60-day deadline expires,,"Sep 06, 2024","The Corporate Affairs Commission (CAC) has reiterated its warning to Point of Sale (POS) operators, commonly associated with Fintech services,..."
AC turns luxury as petrol scarcity bites ride-hailing drivers,,"Sep 06, 2024","Ride-hailing drivers in Lagos, Nigeria’s commercial nerve, are increasingly turning off their air conditioners (AC) and taking on late-night rides..."
How NNPC’s subsidiaries incurred N22trn debt in one year,,"Sep 06, 2024",Thirty-two subsidiaries of the Nigerian National Petroleum Company Ltd (NNPC) are grappling with N22 trillion debt incurred over a 12-month...
Reform fails to lift Nigeria’s health insurance coverage,,"Sep 06, 2024","...FG mulls health insurance as requirement for owning bank account, travels Adaku Okafor, a local farmer and mother of five..."
BOI secures landmark €1.425bn loan to boost financing for Nigerian businesses,,"Sep 05, 2024","…142.5% subscription shows investors’ confidence in BOI, Nigerian economy – Olusi The Bank of Industry (BOI) has successfully raised a..."
NNPC Limited's net debt grows almost seven-fold to hit N156.4trn,,"Sep 05, 2024",Nigerian National Petroleum Company (NNPC) Limited’s net debt has increased by almost seven-fold to N156.4 trillion in 2023 from N22.7...
Only 22% of women in Nigeria are economically empowered – Report,,"Sep 05, 2024","Only 22 percent of Nigerian women are economically empowered, a new report disclosed. The latest EFInA Women’s Economic Empowerment report..."
"Crude oil, pricing roughen NNPC's path to Dangote petrol",,"Sep 05, 2024",Securing a reliable crude oil supply deal and determining the appropriate selling price are two major hurdles facing the Nigerian...
PFAs diversify assets as equity stake jumps 40%,Modestus Anaesoronye,"Sep 05, 2024",Pension Fund Administrators (PFAs) in Nigeria increased their investments in equities by 40 percent in one year to manage risks...
"Tourism sector seen growing on branding, strong local airlines",BusinessDay,"Sep 05, 2024","Experts in the aviation and tourism sectors say global branding, quality infrastructure and local airlines with capacity to reciprocate Bilateral..."
"Lifestyle changes fuel local coconut demand, production",Josephine Okojie,"Sep 05, 2024","Lifestyle changes have raised coconut demand, forcing Nigeria’s farmers to ramp up investments to tap the commodity’s boom. Health-conscious Nigerians..."
"Petrol price hike: NLC cries foul, threatens strike",Anthony Ailemen,"Sep 04, 2024","The Nigeria Labour Congress NLC, on Tuesday, called on the federal government to reverse the planned implementation of the increase..."
Annual N3.5trn post-harvest loss swallows five-year agric budget,Josephine Okojie,"Sep 04, 2024","Nigeria’s annual post-harvest loss of N3.5 trillion surpasses its combined five-year federal budget for agriculture, BusinessDay has found. Estimates show..."
Dangote kicks off Africa's petrol refining renaissance,Dipo Oladehinde,"Sep 04, 2024",…Dangote refinery to supply 25m litres in September Dangote Group kicked off Africa’s petrol renaissance at its giant refinery in...
$500m domestic dollar bond result expected Friday,Hope Moses-Ashike,"Sep 04, 2024","The Federal Government will, on or before Friday, announce the result of the $500 million domestic dollar bond recently offered..."
Passengers lament as NNPC adjusts fuel price to N855,Folake Balogun,"Sep 03, 2024","Fuel prices have increased, leading to scarcity in major filling stations in Lagos, which has led to transport price increase..."
Dangote Refinery begins production of Euro-5 petrol,Eniola Olatunji,"Sep 03, 2024","Dangote Refinery has begun the production of long-awaited petrol today, a development that is a major milestone in Nigeria’s energy..."
"Petrol price seen hitting N1,300/litre on NNPC cash crunch",Oladehinde Oladipo,"Sep 03, 2024","…Dangote to come on stream The premium motor spirit (PMS), also known as petrol, is expected to sell at N1,300..."
US shuts direct flights from Lagos as bilateral window closes,,"Sep 03, 2024",Nigeria has lost the United States Category One status as the country’s airlines failed to operate directly to the country...
Nigeria’s pricey loans stall world-class healthcare dream,,"Sep 03, 2024",Two hospitals in the Federal Capital Territory (FCT) planned to import surgical and non-surgical equipment for the treatment of musculoskeletal...
PFAs flock to infrastructure bonds on high yields,,"Sep 03, 2024","Pension fund administrators (PFAs) are showing a strong appetite for corporate infrastructure bonds, targeting high-yields in the debt market. PFAs..."
Experts raise caution as FG eyes 10% ways and means,,"Sep 03, 2024",…Senate’s N30trn probe drags Economists are urging caution as the President Bola Tinubu -led administration considers utilising the Ways and...
Nigeria misses US Category One aviation status as bilateral window closes,,"Sep 02, 2024",Nigerian airlines have been delisted from the United States Aviation Administration Category One Status (USFAA CAT 1) In­ternational Aviation Safety...
Calls for market price grow over petrol crisis,,"Sep 02, 2024",…Suppliers unwilling to sell on further credit …NNPC in financial strain- spokesman …Price hits N1000/litre Calls for the Federal Government...
"After denials, NNPC admits debts responsible for fuel scarcity",,"Sep 01, 2024",The Nigerian National Petroleum Company Limited (NNPC LTD) has confirmed that it currently faces financial strain due to the supplying...
"Security chiefs get marching orders to relocate to Sokoto, flush out banditry in North West",,"Sep 01, 2024","Bello Matawalle, the Minister of state for defence, has directed General Christopher Musa, the Chief of Defence Staff, along with..."
PH refinery sucks $1.5bn without producing oil,,"Sep 01, 2024","…Misses September 1 deadline If you think getting a $1.5bn cheque for producing nothing is virtually daydreaming, you haven’t met..."
"Contradiction: Nigeria’s 16-year-olds face age limits on exams but not marriage, elections",,"Sep 01, 2024",In a country where 16-year-old girls are deemed mature enough for marriage but are considered too young for major academic...
"Nigerians plan to spend most on food, other basic items for the next 6 months, CBN survey",,"Sep 01, 2024",Nigerian households are planning to spend large amounts of their earnings on basic items such as food and education for...
FG injects fresh $800m in electricity distribution infrastructure,,"Sep 01, 2024",The Federal Government is set to release $800m for the construction of substations and distribution networks as part of the...
Six months after inauguration: Aba power faces old foes as gas shortage frustrates constant supply,,"Sep 01, 2024","The efforts of Geometric Power Limited, foremost integrated energy group in Nigeria, to provide constant power supply in Aba, the..."
Is NUC losing grip on varsity regulation?,,"Sep 01, 2024","…Applies ‘anything goes’ accreditation policy …Stakeholders deplore undue political influence The National Universities Commission (NUC), once a mainstay of quality..."
